query_id,domain,codes
train_0872,"Tax, social & financial",DBG
train_0873,Criminal,StGB;StPO
train_0874,Other,SVG;VVG
train_0875,Other,OR;BankG
train_0876,Criminal,StGB;StPO;SVG
train_0877,Civil & commercial,ZGB;IPRG;BVG
train_0878,Other,AVIG;BV
train_0879,Public & administrative,URG
train_0880,Civil & commercial,OR;ZGB
train_0882,Public & administrative,RPG;VwVG
train_0883,Public & administrative,RPG
train_0884,"Tax, social & financial",BVG
train_0886,"Tax, social & financial",ATSG;IVG
train_0887,"Tax, social & financial",DBG
train_0888,Other,BüG
train_0889,Civil & commercial,ZGB;OR
train_0890,Civil & commercial,ZPO
train_0891,Civil & commercial,IPRG;ZGB;ZPO
train_0892,Civil & commercial,OR;PatG
train_0895,Civil & commercial,OR
train_0897,Public & administrative,URG
train_0898,Public & administrative,BV;RTVG
train_0899,"Tax, social & financial",DBG;MWSTG
train_0900,Other,VStG
train_0901,Civil & commercial,OR
train_0902,Other,
train_0903,Public & administrative,BV;VwVG
train_0904,Civil & commercial,ZGB;OR;GBV
train_0905,"Tax, social & financial",DBG;StHG;MWSTG
train_0907,Civil & commercial,ZGB
train_0908,Civil & commercial,IPRG;ZPO
train_0909,Civil & commercial,ZGB;GBV
train_0910,Civil & commercial,OR;ZPO;ZGB
train_0912,Criminal,JStG;StPO
train_0913,Civil & commercial,OR;VVG
train_0914,Civil & commercial,ZGB
train_0915,Civil & commercial,ZPO;OR
train_0916,Public & administrative,URG
train_0917,"Tax, social & financial",DBG
train_0919,Civil & commercial,OR
train_0920,Civil & commercial,OR;ZGB
train_0921,Civil & commercial,OR;ZPO;LugUe
train_0922,Other,PrHG
train_0923,Other,HVUV;UVG
train_0924,Civil & commercial,OR;BankG
train_0925,Civil & commercial,ZGB;OR
train_0926,Civil & commercial,ZGB;GBV
train_0928,Civil & commercial,ZGB
train_0929,Other,BetmG
train_0930,Public & administrative,SebG;RPG;BV;VwVG;BGG
train_0931,Civil & commercial,IPRG;BGG
train_0932,Civil & commercial,ZGB;OR;IPRG
train_0933,Civil & commercial,ZGB;OR
train_0936,"Tax, social & financial",DBG;StHG
train_0937,Other,BüG
train_0938,Civil & commercial,ZGB
train_0939,Civil & commercial,IPRG;ZPO
train_0940,Other,PatG;OR
train_0941,Other,UWG
train_0942,Public & administrative,BV;RPG
train_0943,Public & administrative,BV
train_0944,Public & administrative,BV
train_0945,Civil & commercial,ZGB
train_0946,"Tax, social & financial",AHVG
train_0947,Civil & commercial,ZGB;GBV
train_0948,Other,AVIG
train_0949,Civil & commercial,OR;ZGB
train_0950,"Tax, social & financial",DBG;StHG
train_0951,Other,KG
train_0953,Civil & commercial,ZGB;GBV
train_0954,Other,OR;MSchG
train_0955,Public & administrative,BV
train_0956,"Tax, social & financial",DBG;StHG
train_0958,"Tax, social & financial",FINMAG;VAG
train_0959,Criminal,StGB;JStG
train_0960,Criminal,StGB;BetmG
train_0961,Public & administrative,AIG;BV
train_0963,Criminal,StGB;StPO
train_0965,"Tax, social & financial",DBG;StHG
train_0966,Civil & commercial,IPRG
train_0967,Public & administrative,URG
train_0968,Civil & commercial,OR
train_0969,Criminal,StGB;StPO
train_0971,Other,EOG;ATSG
train_0973,Other,FINMAG;BankG
train_0974,Civil & commercial,OR;ZGB;ZPO;SchKG
train_0975,Civil & commercial,ZGB;OR
train_0976,Public & administrative,RTVG;BV
train_0977,Public & administrative,SVG
train_0979,Other,VVG;SVG
train_0980,Civil & commercial,ZGB;OR
train_0981,Criminal,StGB;StPO
train_0982,Public & administrative,EleG;NHG;RPG;VwVG
train_0983,Civil & commercial,OR;DBG
train_0984,Civil & commercial,ZGB;OR;ZPO;IPRG
train_0985,Civil & commercial,OR;ZPO;ZGB
train_0987,Civil & commercial,IPRG
train_0988,Criminal,StGB;BV;AIG
train_0990,Public & administrative,USG;NHG;VwVG
train_0991,Civil & commercial,OR
train_0994,Procedure & enforcement,SchKG;ZGB
train_0995,"Tax, social & financial",VStrR;DBG;StHG
train_0996,Criminal,StGB
train_0997,Public & administrative,URG
train_0999,Criminal,StGB;StPO;IRSG
train_1000,"Tax, social & financial",FINMAG;FIDLEG
train_1001,Criminal,JStG
train_1003,Criminal,StGB;StPO;BV
train_1004,Other,IRSG
train_1005,Public & administrative,RPG
train_1006,Public & administrative,GSchG;NHG;VwVG
train_1007,Civil & commercial,ZGB;OR
train_1008,Public & administrative,BV;EMRK
train_1009,Other,VStG
train_1010,Other,BankG
train_1011,Civil & commercial,OR;IPRG;ZPO
train_1012,Civil & commercial,ZGB
train_1014,"Tax, social & financial",DBG;StHG;BV
train_1015,Other,AsylG
train_1016,Other,OR;KG
train_1017,Other,VVG;SVG
train_1018,"Tax, social & financial",ATSG;BV
train_1019,"Tax, social & financial",DBG;StHG
train_1020,"Tax, social & financial",ATSG
train_1021,Civil & commercial,OR
train_1022,Civil & commercial,OR
train_1023,Civil & commercial,ZGB
train_1024,Public & administrative,DSG
train_1025,Civil & commercial,OR
train_1026,Other,SebG
train_1027,Other,EBG
train_1028,"Tax, social & financial",DBG;StHG
train_1030,Civil & commercial,ZGB
train_1031,Civil & commercial,OR;ZGB
train_1032,Public & administrative,StGB;AIG;BV
train_1033,Civil & commercial,OR;ZPO;BGFA
train_1034,Public & administrative,BV
train_1035,"Tax, social & financial",DBG;StHG;VStG
train_1036,Criminal,StGB
train_1037,Civil & commercial,ZPO;ZGB;OR
train_1038,Civil & commercial,ZGB;OR;URG;DSG
train_1039,Civil & commercial,ZGB;OR
train_1040,Civil & commercial,ZGB;GBV;OR
train_1041,"Tax, social & financial",FINMAG
train_1042,Criminal,StGB;StPO;JStG
train_1043,Criminal,IRSG;StPO
train_1044,Civil & commercial,OR;ZPO
train_1045,Civil & commercial,ZGB;OR
train_1046,Public & administrative,URG
train_1047,Civil & commercial,OR;ZGB;ATSG
train_1048,Criminal,StPO
train_1049,"Tax, social & financial",DBG;StHG
train_1050,Civil & commercial,IPRG;ZGB
train_1051,Other,BüG
train_1052,Public & administrative,BV
train_1053,Civil & commercial,ZGB;IPRG
train_1054,Civil & commercial,ZGB;OR
train_1055,Procedure & enforcement,SchKG;BGG
train_1056,Criminal,StPO;StGB
train_1057,Criminal,StGB
train_1058,Civil & commercial,OR
train_1059,Public & administrative,StPO;BV;VwVG
train_1061,Criminal,StGB;StPO
train_1062,Civil & commercial,ZGB;OR
train_1063,Criminal,StGB;StPO;SVG
train_1065,Civil & commercial,ZPO;OR
train_1067,"Tax, social & financial",FINMAG;VwVG
train_1068,Public & administrative,RPG
train_1071,"Tax, social & financial",DBG;StHG
train_1072,Procedure & enforcement,SchKG
train_1073,Civil & commercial,ZGB;OR;StGB
train_1075,Civil & commercial,ZGB;IPRG
train_1076,Criminal,StGB
train_1077,Civil & commercial,IPRG;ZGB
train_1078,Public & administrative,URG
train_1079,Other,KVG
train_1080,"Tax, social & financial",BVG
train_1081,Civil & commercial,ZGB;DSG
train_1082,"Tax, social & financial",UVG
train_1083,Procedure & enforcement,SchKG
train_1084,"Tax, social & financial",DBG;StHG
train_1085,Public & administrative,RPG
train_1086,Civil & commercial,ZGB;OR
train_1087,Criminal,StGB
train_1088,Criminal,StPO;JStPO
train_1089,Public & administrative,BV;VwVG
train_1090,Other,AsylG
train_1092,Criminal,StGB
train_1093,"Tax, social & financial",FINMAG;FIDLEG
train_1094,"Tax, social & financial",ATSG
train_1095,Public & administrative,SebG;RPG;VwVG
train_1096,Criminal,JStG;JStPO
train_1097,"Tax, social & financial",DBG
train_1099,Public & administrative,USG;NHG;RPG;SVG
train_1100,Procedure & enforcement,SchKG;ZGB
train_1101,"Tax, social & financial",FINMAG
train_1102,Civil & commercial,ZGB
train_1103,"Tax, social & financial",UVG;ATSG
train_1104,"Tax, social & financial",BVG
train_1105,Criminal,StGB
train_1106,"Tax, social & financial",DBG;StHG;VStG
train_1107,Criminal,JStG;StPO
train_1108,Other,Other
train_1109,Civil & commercial,OR;ZGB
train_1111,Civil & commercial,ZGB;ZPO
train_1112,Civil & commercial,OR;DBG
train_1113,"Tax, social & financial",UVG
train_1114,Public & administrative,USG
train_1115,Public & administrative,DSG
train_1116,Civil & commercial,OR
train_1117,Other,ZNotG
train_1118,Civil & commercial,OR;ZGB;ZPO
train_1119,Civil & commercial,OR
train_1120,Public & administrative,USG;RPG
train_1121,Civil & commercial,IPRG;OR;ZPO
train_1123,Civil & commercial,OR;ZPO
train_1126,Civil & commercial,OR;MSchG
train_1127,Criminal,JStG
train_1129,Civil & commercial,OR
train_1130,Public & administrative,USG;RPG
train_1131,Criminal,StGB;StPO;JStG
train_1132,Criminal,StGB;StPO
train_1133,Civil & commercial,ZGB;GBV
train_1134,Civil & commercial,ZGB;OR;ZPO
train_1135,Other,BüG
train_1136,Public & administrative,AIG;BV
train_1137,Criminal,StGB;SVG
train_1138,Other,ArG
train_1139,Civil & commercial,ZGB;GBV;GeoIG
val_001,Criminal,StPO;BV
val_002,"Tax, social & financial",IVG
val_003,Criminal,StPO;StGB
val_004,Civil & commercial,ZGB
val_005,Civil & commercial,ZGB;ZPO
val_006,Civil & commercial,OR
val_007,Civil & commercial,ZGB;OR
val_008,Criminal,StGB;StPO
val_009,Procedure & enforcement,ZGB;ZPO;SchKG
val_010,Civil & commercial,OR;ZPO
