query_id,gold_domain,pred_claude
train_0866,Criminal,Criminal
train_0867,Criminal,Criminal
train_0868,Civil & commercial,Civil & commercial
train_0869,Criminal,Criminal
train_0870,Other,Other
train_0871,Civil & commercial,Civil & commercial
train_0872,"Tax, social & financial","Tax, social & financial"
train_0873,Criminal,Criminal
train_0874,Public & administrative,Other
train_0875,Other,Other
train_0876,Criminal,Criminal
train_0877,Civil & commercial,"Tax, social & financial"
train_0878,Public & administrative,Other
train_0879,Public & administrative,Public & administrative
train_0880,Civil & commercial,Civil & commercial
train_0882,Public & administrative,Public & administrative
train_0883,Public & administrative,Public & administrative
train_0884,"Tax, social & financial","Tax, social & financial"
train_0886,"Tax, social & financial","Tax, social & financial"
train_0887,"Tax, social & financial","Tax, social & financial"
train_0888,Other,Public & administrative
train_0889,Civil & commercial,Civil & commercial
train_0890,Civil & commercial,Civil & commercial
train_0891,Civil & commercial,Civil & commercial
train_0892,Civil & commercial,Other
train_0895,Civil & commercial,Civil & commercial
train_0896,Criminal,Criminal
train_0897,Public & administrative,Public & administrative
train_0898,Public & administrative,Public & administrative
train_0899,"Tax, social & financial","Tax, social & financial"
train_0900,Other,Other
train_0901,Other,Civil & commercial
train_0902,Other,Other
train_0903,Public & administrative,Public & administrative
train_0904,Civil & commercial,Civil & commercial
train_0905,"Tax, social & financial","Tax, social & financial"
train_0907,Civil & commercial,Civil & commercial
train_0908,Other,Civil & commercial
train_0909,Civil & commercial,Civil & commercial
train_0910,Civil & commercial,Civil & commercial
train_0912,Other,Criminal
train_0913,Civil & commercial,Civil & commercial
train_0914,Civil & commercial,Civil & commercial
train_0915,Civil & commercial,Civil & commercial
train_0916,Public & administrative,Public & administrative
train_0917,"Tax, social & financial","Tax, social & financial"
train_0919,Civil & commercial,Civil & commercial
train_0920,Other,Civil & commercial
train_0921,Civil & commercial,Civil & commercial
train_0922,Civil & commercial,Other
train_0923,Other,"Tax, social & financial"
train_0924,Other,Other
train_0925,Civil & commercial,Civil & commercial
train_0926,Civil & commercial,Civil & commercial
train_0928,Civil & commercial,Civil & commercial
train_0929,Other,Other
train_0930,Procedure & enforcement,Public & administrative
train_0931,Civil & commercial,Civil & commercial
train_0932,Civil & commercial,Civil & commercial
train_0933,Civil & commercial,Civil & commercial
train_0936,"Tax, social & financial","Tax, social & financial"
train_0937,Other,Other
train_0938,Civil & commercial,Civil & commercial
train_0939,Other,Civil & commercial
train_0940,Other,Other
train_0941,Other,Other
train_0942,Public & administrative,Public & administrative
train_0943,Public & administrative,Public & administrative
train_0944,Other,Public & administrative
train_0945,Civil & commercial,Civil & commercial
train_0946,"Tax, social & financial","Tax, social & financial"
train_0947,Civil & commercial,Civil & commercial
train_0948,Other,Other
train_0949,Civil & commercial,Civil & commercial
train_0950,"Tax, social & financial","Tax, social & financial"
train_0951,Other,Other
train_0953,Civil & commercial,Civil & commercial
train_0954,Other,Other
train_0955,Public & administrative,Public & administrative
train_0956,"Tax, social & financial","Tax, social & financial"
train_0958,"Tax, social & financial","Tax, social & financial"
train_0959,Criminal,Criminal
train_0960,Criminal,Criminal
train_0961,Public & administrative,Public & administrative
train_0963,Criminal,Criminal
train_0965,"Tax, social & financial","Tax, social & financial"
train_0966,Civil & commercial,Civil & commercial
train_0967,Public & administrative,Public & administrative
train_0968,Civil & commercial,Civil & commercial
train_0969,Criminal,Criminal
train_0971,Other,Other
train_0973,Other,Other
train_0974,Civil & commercial,Civil & commercial
train_0975,Civil & commercial,Civil & commercial
train_0976,Public & administrative,Public & administrative
train_0977,Public & administrative,Public & administrative
train_0978,Civil & commercial,Civil & commercial
train_0979,Public & administrative,Other
train_0980,Civil & commercial,Civil & commercial
train_0981,Criminal,"Tax, social & financial"
train_0982,Public & administrative,Public & administrative
train_0983,"Tax, social & financial","Tax, social & financial"
train_0984,Civil & commercial,Civil & commercial
train_0985,Civil & commercial,Civil & commercial
train_0987,Civil & commercial,Civil & commercial
train_0988,Criminal,Criminal
train_0990,Public & administrative,Public & administrative
train_0991,Civil & commercial,Civil & commercial
train_0994,Procedure & enforcement,Procedure & enforcement
train_0995,Other,Other
train_0996,Criminal,Criminal
train_0997,Public & administrative,Public & administrative
train_0999,Other,Other
train_1000,Other,"Tax, social & financial"
train_1001,Criminal,Criminal
train_1002,Civil & commercial,Civil & commercial
train_1003,Public & administrative,Public & administrative
train_1004,Other,Other
train_1005,Public & administrative,Public & administrative
train_1006,Other,Other
train_1007,Civil & commercial,Civil & commercial
train_1008,Public & administrative,Public & administrative
train_1009,Other,Other
train_1010,Other,Other
train_1011,Civil & commercial,Civil & commercial
train_1012,Civil & commercial,Civil & commercial
train_1013,Other,Criminal
train_1014,Public & administrative,Public & administrative
train_1015,Other,Other
train_1016,Other,Other
train_1017,Public & administrative,Other
train_1018,"Tax, social & financial","Tax, social & financial"
train_1019,"Tax, social & financial","Tax, social & financial"
train_1020,"Tax, social & financial","Tax, social & financial"
train_1021,Civil & commercial,Civil & commercial
train_1022,Civil & commercial,Civil & commercial
train_1023,Public & administrative,Civil & commercial
train_1024,Public & administrative,Public & administrative
train_1025,Civil & commercial,Civil & commercial
train_1026,Public & administrative,Public & administrative
train_1027,Other,Other
train_1028,Civil & commercial,"Tax, social & financial"
train_1030,Civil & commercial,Civil & commercial
train_1031,Civil & commercial,Civil & commercial
train_1032,Public & administrative,Public & administrative
train_1033,Procedure & enforcement,Procedure & enforcement
train_1034,Public & administrative,Public & administrative
train_1035,"Tax, social & financial","Tax, social & financial"
train_1036,Criminal,Criminal
train_1037,Civil & commercial,Civil & commercial
train_1038,Public & administrative,Civil & commercial
train_1039,Civil & commercial,Civil & commercial
train_1040,Civil & commercial,Civil & commercial
train_1041,"Tax, social & financial","Tax, social & financial"
train_1042,Other,Criminal
train_1043,Other,Other
train_1044,Civil & commercial,Civil & commercial
train_1045,Civil & commercial,Civil & commercial
train_1046,Public & administrative,Public & administrative
train_1047,"Tax, social & financial",Civil & commercial
train_1048,Criminal,Criminal
train_1049,"Tax, social & financial","Tax, social & financial"
train_1050,Civil & commercial,Civil & commercial
train_1051,Other,Public & administrative
train_1052,Public & administrative,Public & administrative
train_1053,Civil & commercial,Civil & commercial
train_1054,Civil & commercial,Civil & commercial
train_1055,Procedure & enforcement,Procedure & enforcement
train_1056,Other,Criminal
train_1057,Criminal,Criminal
train_1058,Civil & commercial,Civil & commercial
train_1059,Public & administrative,Public & administrative
train_1060,Civil & commercial,Other
train_1061,Criminal,Criminal
train_1062,Civil & commercial,Civil & commercial
train_1063,Criminal,Criminal
train_1064,Public & administrative,Civil & commercial
train_1065,Civil & commercial,Civil & commercial
train_1067,Public & administrative,"Tax, social & financial"
train_1068,Public & administrative,Public & administrative
train_1070,Other,Criminal
train_1071,Other,"Tax, social & financial"
train_1072,Procedure & enforcement,Procedure & enforcement
train_1073,Civil & commercial,Civil & commercial
train_1075,Civil & commercial,Civil & commercial
train_1076,Criminal,Criminal
train_1077,Civil & commercial,Civil & commercial
train_1078,Public & administrative,Civil & commercial
train_1079,"Tax, social & financial",Other
train_1080,"Tax, social & financial","Tax, social & financial"
train_1081,Public & administrative,Civil & commercial
train_1082,"Tax, social & financial","Tax, social & financial"
train_1083,Procedure & enforcement,Procedure & enforcement
train_1084,"Tax, social & financial","Tax, social & financial"
train_1085,Public & administrative,Public & administrative
train_1086,Civil & commercial,Civil & commercial
train_1087,Civil & commercial,Criminal
train_1088,Other,Criminal
train_1089,Public & administrative,Public & administrative
train_1090,Other,Other
train_1092,Criminal,Criminal
train_1093,"Tax, social & financial","Tax, social & financial"
train_1094,"Tax, social & financial","Tax, social & financial"
train_1095,Other,Other
train_1096,Other,Criminal
train_1097,"Tax, social & financial","Tax, social & financial"
train_1099,Procedure & enforcement,Public & administrative
train_1100,Procedure & enforcement,Procedure & enforcement
train_1101,Other,"Tax, social & financial"
train_1102,Civil & commercial,Civil & commercial
train_1103,"Tax, social & financial","Tax, social & financial"
train_1104,"Tax, social & financial","Tax, social & financial"
train_1105,Criminal,Criminal
train_1106,Other,"Tax, social & financial"
train_1107,Other,Criminal
train_1108,Public & administrative,Public & administrative
train_1109,"Tax, social & financial",Civil & commercial
train_1111,Civil & commercial,Civil & commercial
train_1112,Civil & commercial,"Tax, social & financial"
train_1113,Other,"Tax, social & financial"
train_1114,Public & administrative,Public & administrative
train_1115,Public & administrative,Public & administrative
train_1116,Civil & commercial,Civil & commercial
train_1117,Criminal,Other
train_1118,Civil & commercial,Civil & commercial
train_1119,Civil & commercial,Civil & commercial
train_1120,Other,Public & administrative
train_1121,Civil & commercial,Civil & commercial
train_1123,Civil & commercial,Civil & commercial
train_1126,Civil & commercial,Civil & commercial
train_1127,Criminal,Criminal
train_1129,Civil & commercial,Civil & commercial
train_1130,Public & administrative,Public & administrative
train_1131,Criminal,Criminal
train_1132,Criminal,Criminal
train_1133,Civil & commercial,Civil & commercial
train_1134,Civil & commercial,Civil & commercial
train_1135,Other,Other
train_1136,Public & administrative,Public & administrative
train_1137,Other,Criminal
train_1138,Other,Other
train_1139,Civil & commercial,Civil & commercial
